,EH_ID,labels,experiment,weight,weight_dpi0,relative_weight,feces_weight,dpi,infection
1,LM_0355,P4aAAA,P4,43.1,43.9,98.1776765375854,2.15,7,primary
2,LM_0364,P4aAKA,P4,42.23,41.6,101.514423076923,1.98,4,primary
3,LM_0350,P4aAKJ,P4,0,54.5,0,0,7,primary
4,LM_0357,P4aAMK,P4,41.52,42.8,97.0093457943925,1.24,3,primary
5,LM_0363,P4aAQN,P4,41.62,46.7,89.1220556745182,0.91,6,primary
6,LM_0367,P4aARF,P4,46.67,49.6,94.0927419354839,2.46,5,primary
7,LM_0364,P4aAXB,P4,41.59,41.6,99.9759615384616,2.19,2,primary
8,LM_0364,P4aBBE,P4,43.47,41.6,104.495192307692,1.68,5,primary
9,LM_0350,P4aBDZ,P4,NA,54.5,NA,NA,11,primary
10,LM_0361,P4aBFV,P4,37.71,46.1,81.8004338394794,1.13,8,primary
11,LM_0362,P4aBGC,P4,36.62,51.1,71.6634050880626,0.23,10,primary
12,LM_0359,P4aBID,P4,41.61,46.7,89.1006423982869,0.8,5,primary
13,LM_0353,P4aBIO,P4,36.76,45.1,81.5077605321508,0.26,5,primary
14,LM_0352,P4aBPT,P4,38.35,40.6,94.4581280788177,1.12,6,primary
15,LM_0353,P4aBPY,P4,42.6,45.1,94.4567627494457,1.95,1,primary
16,LM_0354,P4aBRM,P4,39.71,45,88.2444444444445,1.25,5,primary
17,LM_0357,P4aBWK,P4,35.74,42.8,83.5046728971963,0.66,8,primary
18,LM_0365,P4aCCC,P4,56.52,59.2,95.472972972973,1.42,3,primary
19,LM_0367,P4aCFB,P4,47.26,49.6,95.2822580645161,2,4,primary
20,LM_0367,P4aCLB,P4,47.55,49.6,95.866935483871,1.1,2,primary
21,LM_0362,P4aCLL,P4,46.65,51.1,91.2915851272016,1.22,4,primary
22,LM_0353,P4aCNF,P4,39.43,45.1,87.4279379157428,1.92,8,primary
23,LM_0349,P4aCNZ,P4,43.35,50.5,85.8415841584158,1.05,5,primary
24,LM_0363,P4aCPI,P4,39.63,46.7,84.8608137044968,1.37,8,primary
25,LM_0355,P4aCPK,P4,44.52,43.9,101.412300683371,2.32,10,primary
26,LM_0355,P4aCRR,P4,43.39,43.9,98.8382687927107,0.86,2,primary
27,LM_0360,P4aCUI,P4,37.6,42.1,89.3111638954869,0.77,5,primary
28,LM_0365,P4aCXA,P4,58.62,59.2,99.0202702702703,1.48,1,primary
29,LM_0367,P4aCXE,P4,46.79,49.6,94.3346774193548,2.65,7,primary
30,LM_0351,P4aCZD,P4,33.71,43.6,77.3165137614679,0.39,7,primary
31,LM_0365,P4aDAP,P4,57.6,59.2,97.2972972972973,2.64,2,primary
32,LM_0363,P4aDAQ,P4,41.13,46.7,88.0728051391863,2.1,10,primary
33,LM_0350,P4aDFW,P4,54.5,54.5,100,NA,0,primary
34,LM_0355,P4aDHR,P4,42,43.9,95.6719817767654,1.33,6,primary
35,LM_0349,P4aDIW,P4,NA,50.5,NA,NA,10,primary
36,LM_0362,P4aDTP,P4,39.64,51.1,77.573385518591,0.41,8,primary
37,LM_0350,P4aDUE,P4,NA,54.5,NA,NA,9,primary
