"EH_id","dpi","mouse_id","name","ear","sex","born","age","age_weeks","strain","line","room.rack","cage","comment","Inf_strain","num.inf","Infection_date","weight","rel.weight","oocysts.per.g"
"LM0098","5",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",18.27,102.582818641213,0
"LM0098","6",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",17.13,96.1819202695115,0
"LM0098","7",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",17.23,96.7434025828186,28571.4285714286
"LM0098","8",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",15.69,88.0965749578888,1875000
"LM0098","9",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",14.96,83.9977540707468,1215909.09090909
"LM0099","0",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",14.8,100.611828687967,0
"LM0099","1",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",14.71,100,0
"LM0099","10",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",15.85,107.749830047587,0
"LM0099","11",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",14.62,99.3881713120326,0
"LM0099","2",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",15.55,105.710401087695,0
"LM0099","3",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",15,101.971447994562,0
"LM0099","4",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",14.23,96.736913664174,0
"LM0099","5",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",14.16,96.2610469068661,1770833.33333333
"LM0099","6",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",14.55,98.9123045547247,2002777.77777778
"LM0099","7",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",14.22,96.6689326988443,385365.853658537
"LM0099","8",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",15.14,102.923181509177,43774.3190661479
"LM0099","9",50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","EI64",25,"11_May_17",15.59,105.982324949014,8536.58536585366
"LM0100","0",50031427,"WSB.1.144.C.1M",0,"m","27.12.2015",464,66,"WSB","WSB","WM1.12/8.2",660,"","EI64",20,"11_May_17",16.7,100.906344410876,0
"LM0100","1",50031427,"WSB.1.144.C.1M",0,"m","27.12.2015",464,66,"WSB","WSB","WM1.12/8.2",660,"","EI64",20,"11_May_17",16.55,100,0
"LM0100","2",50031427,"WSB.1.144.C.1M",0,"m","27.12.2015",464,66,"WSB","WSB","WM1.12/8.2",660,"","EI64",20,"11_May_17",17.08,103.202416918429,0
"LM0100","3",50031427,"WSB.1.144.C.1M",0,"m","27.12.2015",464,66,"WSB","WSB","WM1.12/8.2",660,"","EI64",20,"11_May_17",16.3,98.4894259818731,0
"LM0100","4",50031427,"WSB.1.144.C.1M",0,"m","27.12.2015",464,66,"WSB","WSB","WM1.12/8.2",660,"","EI64",20,"11_May_17",14.75,89.1238670694864,0
"LM0100","5",50031427,"WSB.1.144.C.1M",0,"m","27.12.2015",464,66,"WSB","WSB","WM1.12/8.2",660,"","EI64",20,"11_May_17",15.33,92.6283987915408,94339.6226415094
"LM0100","6",50031427,"WSB.1.144.C.1M",0,"m","27.12.2015",464,66,"WSB","WSB","WM1.12/8.2",660,"","EI64",20,"11_May_17",13.84,83.6253776435045,3045833.33333333
"LM0101","0",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",NA,NA,0
"LM0101","1",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",16.66,100,0
"LM0101","10",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",16.52,99.1596638655462,0
"LM0101","11",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",17.38,104.321728691477,0
"LM0101","2",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",16.45,98.7394957983193,0
"LM0101","3",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",16.45,98.7394957983193,0
"LM0101","4",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",17.65,105.94237695078,0
"LM0101","5",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",17.38,104.321728691477,171323.076923077
"LM0101","6",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",17.27,103.661464585834,703366.336633664
"LM0101","7",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",15.88,95.3181272509004,70322.5806451613
"LM0101","8",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",16.6,99.639855942377,14705.8823529412
"LM0101","9",50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","EI64",7,"8_May_17",16.17,97.0588235294118,0
"LM0102","0",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",NA,NA,0
"LM0102","1",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.5,100,0
"LM0102","10",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",14.02,103.851851851852,10964.9122807018
"LM0102","11",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.31,98.5925925925926,0
"LM0102","2",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.01,96.3703703703704,0
"LM0102","3",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",12.95,95.9259259259259,0
"LM0102","4",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.94,103.259259259259,0
"LM0102","5",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.54,100.296296296296,226851.851851852
"LM0102","6",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.85,102.592592592593,1037983.19327731
"LM0102","7",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.26,98.2222222222222,920655.737704918
"LM0102","8",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.9,102.962962962963,168831.168831169
"LM0102","9",50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","EI64",6,"8_May_17",13.75,101.851851851852,13888.8888888889
"LM0103","0",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",17.41,98.5843714609287,0
"LM0103","1",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",17.66,100,0
"LM0103","2",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",17.82,100.906002265006,0
"LM0103","3",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",17.58,99.5469988674972,0
"LM0103","4",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",16.74,94.7904869762174,0
"LM0103","5",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",17.27,97.7916194790487,0
"LM0103","6",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",16.75,94.8471121177803,0
"LM0103","7",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",16.58,93.8844847112118,1445.08670520231
"LM0103","8",50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","Eflab",11,"11_May_17",14.28,80.8607021517554,937500
"LM0105","0",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",16.7,104.702194357367,0
"LM0105","1",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",15.95,100,0
"LM0105","10",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",16.19,101.504702194357,625
"LM0105","11",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",16.45,103.134796238245,533.049040511727
"LM0105","2",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",16.28,102.068965517241,0
"LM0105","3",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",16.2,101.567398119122,0
"LM0105","4",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",15.56,97.5548589341693,80000
"LM0105","5",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",14.9,93.4169278996865,177884.615384615
"LM0105","6",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",14.96,93.7931034482759,4089201.87793427
"LM0105","7",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",15.32,96.0501567398119,1413346.61354582
"LM0105","8",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",16.2,101.567398119122,225925.925925926
"LM0105","9",50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","EI64",14,"11_May_17",16.68,104.576802507837,7194.24460431655
"LM0106","0",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",17.65,100,0
"LM0106","1",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",17.65,100,0
"LM0106","2",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",17.63,99.8866855524079,0
"LM0106","3",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",16.9,95.7507082152975,0
"LM0106","4",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",16.46,93.257790368272,2600
"LM0106","5",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",16.65,94.3342776203966,0
"LM0106","6",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",15.79,89.4617563739377,0
"LM0106","7",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",15.78,89.4050991501416,31250
"LM0106","8",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",14.22,80.5665722379604,250000
"LM0106","9",50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",10,"11_May_17",12.95,73.371104815864,479166.666666667
"LM0107","0",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",18.2,99.7260273972603,0
"LM0107","1",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",18.25,100,0
"LM0107","2",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",18.81,103.068493150685,0
"LM0107","3",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",17.98,98.5205479452055,0
"LM0107","4",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",16.41,89.9178082191781,5813.95348837209
"LM0107","5",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",14.84,81.3150684931507,375000
"LM0107","6",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",15.65,85.7534246575343,714912.280701754
"LM0107","7",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",16.08,88.1095890410959,552238.805970149
"LM0107","8",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",17.63,96.6027397260274,21683.6734693878
"LM0107","9",50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","EI64",26,"11_May_17",13.97,76.5479452054795,10416.6666666667
"LM0108","0",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",17.62,98.0523094045632,0
"LM0108","1",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",17.97,100,0
"LM0108","10",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",15.61,86.867000556483,685000
"LM0108","2",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",18.24,101.502504173623,0
"LM0108","3",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",18.43,102.559821925431,0
"LM0108","4",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",17.49,97.3288814691152,0
"LM0108","5",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",18.08,100.612131329994,0
"LM0108","6",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",17.41,96.8836950473011,0
"LM0108","7",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",17.35,96.5498052309405,438.59649122807
"LM0108","8",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",16.99,94.5464663327768,320833.333333333
"LM0108","9",50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","Eflab",8,"11_May_17",16.88,93.9343350027824,2664179.10447761
"LM0109","0",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",19.33,99.5365602471679,0
"LM0109","1",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",19.42,100,0
"LM0109","10",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",19.62,101.029866117405,0
"LM0109","11",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",18.5,95.2626158599382,0
"LM0109","2",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",19.52,100.514933058702,0
"LM0109","3",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",19.61,100.978372811534,0
"LM0109","4",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",18.64,95.9835221421215,165031.44654088
"LM0109","5",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",18.3,94.2327497425335,1077433.62831858
"LM0109","6",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",18.11,93.254376930999,1521126.76056338
"LM0109","7",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",18.63,95.9320288362513,767241.379310345
"LM0109","8",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",20.21,104.067971163749,261363.636363636
"LM0109","9",50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","EI64",23,"11_May_17",19.71,101.493305870237,4545.45454545455
"LM0110","0",50032508,"WPD107.1.A.2M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.1",52,"","Eflab",15,"11_May_17",19.56,95.7415565345081,0
"LM0110","1",50032508,"WPD107.1.A.2M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.1",52,"","Eflab",15,"11_May_17",20.43,100,0
"LM0110","2",50032508,"WPD107.1.A.2M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.1",52,"","Eflab",15,"11_May_17",19.89,97.3568281938326,0
