labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight,Expe,Eimeria,,,,,
ACD,LM0179,0,18.93,18.93,0,2.31,Expe005_1a,E88,,,,,
BLX,LM0180,0,24.1,24.1,0,1.51,Expe005_1a,E88,,,,,
AWY,LM0181,0,17.5,17.5,0,0.93,Expe005_1a,E88,,,,,
CLT,LM0182,0,16.94,16.94,0,1.09,Expe005_1a,E88,,,,,
CEK,LM0183,0,17.08,17.08,0,1.33,Expe005_1a,E88,,,,,
CUX,LM0184,0,22.8,22.8,0,1.14,Expe005_1a,E88,,,,,
CEG,LM0185,0,20.1,20.1,0,1.19,Expe005_1a,E88,,,,,
FPV,LM0186,0,18.1,18.1,0,1.27,Expe005_1a,E88,,,,,
FJS,LM0187,0,16.71,16.71,0,1.24,Expe005_1a,E88,,,,,
CIW,LM0188,0,20.6,20.6,0,0.9,Expe005_1a,E88,,,,,
IJW,LM0189,0,17.03,17.03,0,0.91,Expe005_1a,E88,,,,,
HOX,LM0190,0,15.55,15.55,0,1.05,Expe005_1a,E88,,,,,
HJX,LM0191,0,21.97,21.97,0,0.94,Expe005_1a,E88,,,,,
GUX,LM0192,0,21.06,21.06,0,0.98,Expe005_1a,E88,,,,,
GUW,LM0193,0,16.4,16.4,0,1.39,Expe005_1a,E88,,,,,
LNU,LM0194,0,20.37,20.37,0,1.21,Expe005_1a,E88,,,,,
OPY,LM0195,0,16.88,16.88,0,1.03,Expe005_1a,E88,,,,,
CPW,LM0196,0,22.5,22.5,0,1.14,Expe005_1a,E88,,,,,
LXZ,LM0197,0,21.35,21.35,0,2.49,Expe005_1a,E88,,,,,
CNS,LM0198,0,17.65,17.65,0,2.01,Expe005_1a,E88,,,,,
BHN,LM0199,0,26.85,26.85,0,1.85,Expe005_1a,E88,,,,,
AFT,LM0200,0,22.32,22.32,0,2.16,Expe005_1a,E88,,,,,
BUX,LM0201,0,21.75,21.75,0,1.32,Expe005_1a,E88,,,,,
GPW,LM0202,0,17.68,17.68,0,1.49,Expe005_1a,E88,,,,,
CMO,LM0203,0,20.26,20.26,0,1.48,Expe005_1a,E88,,,,,
MQS,LM0179,1,19.79,18.93,-4.54305335446381,,Expe005_1a,E88,,,,,
DTY,LM0180,1,23.7,24.1,1.65975103734441,,Expe005_1a,E88,,,,,
MQR,LM0181,1,18.22,17.5,-4.11428571428571,,Expe005_1a,E88,,,,,
ESV,LM0182,1,17.48,16.94,-3.18772136953955,,Expe005_1a,E88,,,,,
PTZ,LM0183,1,16.56,17.08,3.04449648711944,,Expe005_1a,E88,,,,,
EKO,LM0184,1,22.54,22.8,1.14035087719299,,Expe005_1a,E88,,,,,
