labels,EH_ID,dpi,weight,weightloss,weightRelativeToInfection,fecweight
EPT,LM0146,0,19.8,,,845
EHR,LM0147,0,15.6,,,1198
IMX,LM0148,0,17.6,,,1027
AHT,LM0149,0,20.7,,,0.82
PVX,LM0150,0,19.3,,,1.12
IKQ,LM0151,0,29.5,,,1.92
FNQ,LM0152,0,18.1,,,0.79
OQV,LM0153,0,12.7,,,0.48
CRY,LM0154,0,15,,,0.55
PVY,LM0155,0,NA,,,NA
CRX,LM0156,0,17.6,,,1.01
LOR,LM0157,0,25.9,,,0.61
CTU,LM0158,0,30.1,,,0.59
GKT,LM0159,0,15.8,,,0.86
RSY,LM0160,0,12.4,,,0.69
DEO,LM0161,0,36.6,,,1.22
FPR,LM0162,0,17.3,,,0.64
KWY,LM0163,0,17.3,,,1.03
HMS,LM0164,0,23.8,,,0.85
GOU,LM0165,0,20.3,,,0.53
GRV,LM0166,0,30.2,,,1
AFO,LM0167,0,13.5,,,0.57
BKN,LM0168,0,27,,,1.21
GIQ,LM0169,0,14.7,,,0.72
BGN,LM0170,0,22.4,,,0.4
CHV,LM0171,0,14,,,0.37
EFQ,LM0172,0,19,,,1.1
HLN,LM0173,0,15.3,,,1.58
CHR,LM0174,0,16.9,,,0.7
PST,LM0175,0,26.5,,,1.17
CIL,LM0176,0,22.5,,,0.46
ANR,LM0177,0,14.8,,,1.18
CHI,LM0178,0,18.1,,,0.9
IOW,LM0146,1,19.6,,,1.07
DPX,LM0147,1,16.1,,,1.1
DFR,LM0148,1,17.3,,,1.65
AOQ,LM0149,1,20.8,,,1.39
GHY,LM0150,1,19.5,,,1.33
JUZ,LM0151,1,29.8,,,1.23
FHR,LM0152,1,18,,,1.02
EFO,LM0153,1,12.3,,,0.42
HUW,LM0154,1,15.1,,,0.56
GSW,LM0155,1,NA,,,
JPR,LM0156,1,17.9,,,1.03
QVY,LM0157,1,25.9,,,0.76
HVW,LM0158,1,30.5,,,1.4
IMQ,LM0159,1,16.1,,,1.49
DMU,LM0160,1,11.5,,,0.11
BKS,LM0161,1,35.9,,,0.84
BHY,LM0162,1,17,,,1.05
ARS,LM0163,1,17.5,,,1.24
APV,LM0164,1,23.5,,,1.21
FYZ,LM0165,1,20.8,,,1.07
PWX,LM0166,1,30.2,,,1.31
