Target,Infection group ,Dpi,,Sample,Cq,Cq Mean,Cq Std. Dev,Target,Cq,Cq Mean,Cq Std. Dev
Mus-CDC42,Eflab,3,,lm0051,25.22,25.18,0.056,Eim-COI,,34.67,0.000
Mus-CDC42,Eflab,3,,lm0051,25.14,25.18,0.056,Eim-COI,,34.67,0.000
Mus-CDC42,Eflab,3,,lm0063,24.36,24.40,0.060,Eim-COI,28.81,29.04,0.333
Mus-CDC42,Eflab,3,,lm0063,24.45,24.40,0.060,Eim-COI,29.28,29.04,0.333
Mus-CDC42,Eflab,3,,lm0090,24.64,24.70,0.092,Eim-COI,25.92,25.83,0.121
Mus-CDC42,Eflab,3,,lm0090,24.77,24.70,0.092,Eim-COI,25.75,25.83,0.121
Mus-CDC42,Efwild,3,,lm0026,24.07,24.10,0.032,Eim-COI,30.65,30.30,0.502
Mus-CDC42,Efwild,3,,lm0026,24.12,24.10,0.032,Eim-COI,29.94,30.30,0.502
Mus-CDC42,Efwild,3,,lm0076,24.07,24.16,0.126,Eim-COI,30.15,29.87,0.398
Mus-CDC42,Efwild,3,,lm0076,24.25,24.16,0.126,Eim-COI,29.59,29.87,0.398
Mus-CDC42,Efwild,3,,lm0044,23.62,23.67,0.079,Eim-COI,28.93,29.01,0.112
Mus-CDC42,Efwild,3,,lm0044,23.73,23.67,0.079,Eim-COI,29.09,29.01,0.112
Mus-CDC42,E64,3,,lm0067,25.12,25.13,0.010,Eim-COI,20.32,20.18,0.193
Mus-CDC42,E64,3,,lm0067,25.13,25.13,0.010,Eim-COI,20.04,20.18,0.193
Mus-CDC42,E64,3,,lm0069,25.73,25.75,0.037,Eim-COI,22.00,21.78,0.320
Mus-CDC42,E64,3,,lm0069,25.78,25.75,0.037,Eim-COI,21.55,21.78,0.320
Mus-CDC42,E64,3,,lm0041,26.18,26.16,0.027,Eim-COI,20.06,19.97,0.129
Mus-CDC42,E64,3,,lm0041,26.14,26.16,0.027,Eim-COI,19.88,19.97,0.129
Mus-CDC42,Eflab,5,,lm0083,26.01,25.79,0.313,Eim-COI,22.49,22.32,0.229
Mus-CDC42,Eflab,5,,lm0083,25.57,25.79,0.313,Eim-COI,22.16,22.32,0.229
Mus-CDC42,Eflab,5,,lm0068,26.28,26.38,0.147,Eim-COI,23.02,22.99,0.048
Mus-CDC42,Eflab,5,,lm0068,26.49,26.38,0.147,Eim-COI,22.95,22.99,0.048
Mus-CDC42,Eflab,5,,lm0093,26.06,25.87,0.266,Eim-COI,23.59,23.54,0.083
Mus-CDC42,Eflab,5,,lm0093,25.68,25.87,0.266,Eim-COI,23.48,23.54,0.083
Mus-CDC42,Efwild,5,,lm0082,28.15,28.15,0.008,Eim-COI,27.06,26.81,0.347
Mus-CDC42,Efwild,5,,lm0082,28.16,28.15,0.008,Eim-COI,26.57,26.81,0.347
Mus-CDC42,Efwild,5,,lm0077,25.41,25.47,0.077,Eim-COI,24.86,24.75,0.167
Mus-CDC42,Efwild,5,,lm0077,25.52,25.47,0.077,Eim-COI,24.63,24.75,0.167
Mus-CDC42,Efwild,5,,lm0055,26.26,26.14,0.175,Eim-COI,24.56,24.51,0.067
Mus-CDC42,Efwild,5,,lm0055,26.02,26.14,0.175,Eim-COI,24.46,24.51,0.067
Mus-CDC42,E64,5,,lm0064,24.26,24.24,0.041,Eim-COI,20.67,20.90,0.334
Mus-CDC42,E64,5,,lm0064,24.21,24.24,0.041,Eim-COI,21.14,20.90,0.334
Mus-CDC42,E64,5,,lm0061,25.84,25.77,0.095,Eim-COI,21.94,21.79,0.202
Mus-CDC42,E64,5,,lm0061,25.71,25.77,0.095,Eim-COI,21.65,21.79,0.202
Mus-CDC42,E64,5,,lm0092,25.45,25.31,0.188,Eim-COI,22.02,21.98,0.051
Mus-CDC42,E64,5,,lm0092,25.18,25.31,0.188,Eim-COI,21.95,21.98,0.051
Mus-CDC42,Eflab,7,,LM0075,28.08,27.97,0.156,Eim-COI,20.30,20.23,0.093
Mus-CDC42,Eflab,7,,LM0075,27.86,27.97,0.156,Eim-COI,20.16,20.23,0.093
Mus-CDC42,Eflab,7,,LM0059,25.53,25.51,0.034,Eim-COI,18.78,19.01,0.321
